Customer_ID,Gender,Age,Region,Account_Type,Transaction_Date,Transaction_Type,Amount,Loan_Status,Credit_Score,year,month,day,age_group,amount_levl,Txn_Flow,Region_Encoded
10764,Female,62,0,Current,2023-02-16,Withdrawal,12137.0,Rejected,523,2023,2,16,senior,medium,Debit,0
13936,Female,33,West,Savings,2023-04-08,Deposit,60976.0,Rejected,595,2023,4,8,adult,high,Credit,4
14948,Female,18,West,Savings,2023-01-17,Withdrawal,52955.0,Approved,795,2023,1,17,young,high,Debit,4
11127,Female,33,East,Savings,2023-02-06,Withdrawal,72627.0,Default,812,2023,2,6,adult,high,Debit,1
13581,Male,63,North,Savings,2024-04-27,EMI,26617.0,Approved,866,2024,4,27,senior,medium,Debit,2
13981,Female,57,East,Savings,2024-12-02,Deposit,26839.0,Rejected,386,2024,12,2,middle_age,medium,Credit,1
14587,Male,42,East,Savings,2023-08-09,EMI,59565.0,Rejected,737,2023,8,9,middle_age,high,Debit,1
13287,Female,69,East,Savings,2023-11-05,EMI,88472.0,Approved,790,2023,11,5,senior,high,Debit,1
10945,Male,68,West,Current,2023-10-18,EMI,12049.0,Rejected,366,2023,10,18,senior,medium,Debit,4
14199,Male,59,North,Current,2023-04-03,EMI,66544.0,Default,700,2023,4,3,middle_age,high,Debit,2
12407,Female,62,West,Current,2024-01-24,EMI,7214.0,Default,632,2024,1,24,senior,low,Debit,4
12719,Male,60,East,Current,2024-11-15,EMI,8636.0,Rejected,881,2024,11,15,middle_age,low,Debit,1
14350,Male,20,South,Savings,2024-04-20,Withdrawal,7780.0,Approved,712,2024,4,20,young,low,Debit,3
10347,Male,50,South,Current,2024-12-14,Loan,17306.0,Default,843,2024,12,14,middle_age,medium,Credit,3
11421,Male,39,0,Current,2024-04-28,Withdrawal,0.0,Default,558,2024,4,28,adult,low,Debit,0
10472,Female,28,South,Savings,2023-05-02,Deposit,78090.0,Approved,682,2023,5,2,adult,high,Credit,3
11262,Male,46,South,Savings,2023-10-05,Deposit,85661.0,Approved,372,2023,10,5,middle_age,high,Credit,3
13810,Female,59,South,Savings,2023-12-12,Deposit,61035.0,0,647,2023,12,12,middle_age,high,Credit,3
13883,Male,35,West,Savings,2023-06-25,EMI,29443.0,Rejected,886,2023,6,25,adult,medium,Debit,4
12347,Male,44,West,Current,2023-04-05,Withdrawal,5409.0,Rejected,727,2023,4,5,middle_age,low,Debit,4
12003,Female,40,North,Current,2023-10-21,Deposit,6274.0,Approved,592,2023,10,21,adult,low,Credit,2
14344,Male,42,North,Savings,2024-11-19,EMI,27328.0,Rejected,864,2024,11,19,middle_age,medium,Debit,2
14010,Female,35,West,Savings,2024-11-02,Loan,42104.0,Approved,307,2024,11,2,adult,medium,Credit,4
14897,Male,41,South,Savings,2023-12-21,Withdrawal,46041.0,Approved,626,2023,12,21,middle_age,medium,Debit,3
11050,Male,45,East,Savings,2024-08-13,Deposit,45390.0,0,341,2024,8,13,middle_age,medium,Credit,1
10747,Male,56,East,Current,2023-03-19,Deposit,24333.0,Rejected,837,2023,3,19,middle_age,medium,Credit,1
10487,Male,35,East,Savings,2023-08-16,Deposit,53971.0,Default,816,2023,8,16,adult,high,Credit,1
14551,Female,38,0,Current,2024-02-11,Loan,74465.0,Approved,630,2024,2,11,adult,high,Credit,0
14580,Female,34,South,Savings,2024-05-21,Loan,41273.0,Approved,625,2024,5,21,adult,medium,Credit,3
10849,Male,39,North,Current,2024-11-04,Withdrawal,67105.0,Default,443,2024,11,4,adult,high,Debit,2
13046,Male,66,East,Savings,2024-02-09,Deposit,9301.0,Rejected,450,2024,2,9,senior,low,Credit,1
14168,Female,38,East,Current,2024-05-17,Deposit,58886.0,Approved,843,2024,5,17,adult,high,Credit,1
11021,Male,28,South,Current,2024-02-17,Deposit,84031.0,Default,326,2024,2,17,adult,high,Credit,3
14889,Male,30,West,Current,2023-06-30,EMI,71632.0,Approved,304,2023,6,30,adult,high,Debit,4
12226,Male,62,North,Current,2024-06-28,EMI,64444.0,Default,810,2024,6,28,senior,high,Debit,2
10531,Male,45,East,Current,2024-09-08,Deposit,95176.0,Rejected,693,2024,9,8,middle_age,high,Credit,1
10066,Female,57,North,Current,2023-04-21,Withdrawal,0.0,Rejected,406,2023,4,21,middle_age,low,Debit,2
14854,Male,42,East,Savings,2023-01-20,Loan,72504.0,Rejected,686,2023,1,20,middle_age,high,Credit,1
12427,Male,64,South,Savings,2024-08-16,EMI,49001.0,Rejected,684,2024,8,16,senior,medium,Debit,3
10411,Male,57,West,Savings,2024-06-08,Deposit,49266.0,Rejected,864,2024,6,8,middle_age,medium,Credit,4
14747,Female,22,West,Savings,2023-08-08,EMI,76507.0,Rejected,334,2023,8,8,young,high,Debit,4
10682,Male,29,East,Current,2024-07-28,Withdrawal,25440.0,Rejected,874,2024,7,28,adult,medium,Debit,1
12032,Male,60,West,Current,2023-08-03,Loan,43346.0,Default,815,2023,8,3,middle_age,medium,Credit,4
13972,Female,31,North,Current,2024-02-10,Loan,23007.0,Approved,305,2024,2,10,adult,medium,Credit,2
11407,Female,21,North,Current,2024-08-09,Withdrawal,25529.0,Default,875,2024,8,9,young,medium,Debit,2
10834,Female,22,North,Current,2023-10-13,Deposit,50630.0,Default,320,2023,10,13,young,high,Credit,2
10627,Male,69,East,Current,2023-02-03,Loan,19599.0,Default,584,2023,2,3,senior,medium,Credit,1
13438,Male,68,South,Current,2024-04-10,Loan,53169.0,Approved,771,2024,4,10,senior,high,Credit,3
12064,Female,19,East,Savings,2024-09-18,Loan,38962.0,0,885,2024,9,18,young,medium,Credit,1
13520,Male,31,South,Current,2024-03-22,Loan,23474.0,Rejected,512,2024,3,22,adult,medium,Credit,3
10438,Female,67,East,Savings,2023-08-18,EMI,31331.0,Approved,568,2023,8,18,senior,medium,Debit,1
13045,Female,25,South,Current,2023-10-30,Deposit,30553.0,Rejected,436,2023,10,30,young,medium,Credit,3
12575,Male,45,South,Current,2023-08-30,EMI,25601.0,Approved,743,2023,8,30,middle_age,medium,Debit,3
10978,Female,67,South,Savings,2023-11-30,Deposit,87973.0,Rejected,765,2023,11,30,senior,high,Credit,3
11627,Male,47,0,Savings,2023-06-24,Deposit,79473.0,Approved,448,2023,6,24,middle_age,high,Credit,0
11967,Male,41,North,Current,2023-12-26,Withdrawal,5054.0,Approved,479,2023,12,26,middle_age,low,Debit,2
11323,Male,53,East,Savings,2023-07-05,Loan,53657.0,Approved,649,2023,7,5,middle_age,high,Credit,1
10241,Female,65,South,Current,2024-04-02,Withdrawal,13857.0,Approved,327,2024,4,2,senior,medium,Debit,3
10423,Female,41,South,Current,2023-05-22,EMI,31289.0,Rejected,878,2023,5,22,middle_age,medium,Debit,3
11488,Male,22,South,Current,2023-03-20,Withdrawal,68345.0,Default,393,2023,3,20,young,high,Debit,3
10024,Female,64,East,Savings,2023-09-28,Loan,24519.0,Rejected,820,2023,9,28,senior,medium,Credit,1
12965,Female,39,North,Current,2023-08-28,Deposit,6461.0,Default,700,2023,8,28,adult,low,Credit,2
10034,Female,20,North,Current,2024-03-06,Deposit,51559.0,Rejected,517,2024,3,6,young,high,Credit,2
14303,Female,22,North,Current,2024-10-10,EMI,64475.0,Rejected,605,2024,10,10,young,high,Debit,2
11422,Male,23,North,Current,2024-10-28,Deposit,43380.0,Default,649,2024,10,28,young,medium,Credit,2
13096,Female,30,West,Current,2023-09-18,EMI,18305.0,Approved,427,2023,9,18,adult,medium,Debit,4
12887,Female,21,North,Current,2023-01-31,Withdrawal,3703.0,Default,349,2023,1,31,young,low,Debit,2
14679,Female,37,South,Current,2024-04-30,Deposit,34152.0,Approved,869,2024,4,30,adult,medium,Credit,3
14703,Female,34,West,Savings,2024-08-25,EMI,25696.0,Approved,478,2024,8,25,adult,medium,Debit,4
12562,Female,18,East,Savings,2023-01-10,Withdrawal,31110.0,Default,492,2023,1,10,young,medium,Debit,1
12648,Male,52,East,Savings,2023-02-24,Deposit,42709.0,Default,538,2023,2,24,middle_age,medium,Credit,1
11011,Male,63,North,Current,2024-09-01,EMI,4140.0,Approved,309,2024,9,1,senior,low,Debit,2
14598,Male,31,East,Savings,2024-11-29,Loan,2125.0,Default,645,2024,11,29,adult,low,Credit,1
11635,Male,61,North,Savings,2023-02-20,Loan,4877.0,Approved,493,2023,2,20,senior,low,Credit,2
10080,Female,21,East,Savings,2024-12-18,Loan,0.0,Default,845,2024,12,18,young,low,Credit,1
13916,Female,66,South,Current,2024-08-21,Loan,92310.0,Default,388,2024,8,21,senior,high,Credit,3
13870,Female,59,South,Savings,2024-07-21,Deposit,63363.0,Approved,352,2024,7,21,middle_age,high,Credit,3
10255,Male,30,North,Current,2024-09-16,EMI,17802.0,Approved,836,2024,9,16,adult,medium,Debit,2
11593,Female,34,West,Savings,2023-09-19,Withdrawal,6022.0,Approved,749,2023,9,19,adult,low,Debit,4
11535,Male,58,North,Savings,2024-01-28,Deposit,59335.0,Default,742,2024,1,28,middle_age,high,Credit,2
13607,Female,66,East,Current,2023-01-13,Deposit,48052.0,Approved,342,2023,1,13,senior,medium,Credit,1
10291,Male,38,West,Current,2024-08-14,Withdrawal,82259.0,Default,786,2024,8,14,adult,high,Debit,4
10932,Female,23,West,Savings,2024-03-07,Withdrawal,90930.0,Rejected,754,2024,3,7,young,high,Debit,4
10228,Female,64,South,Savings,2024-02-17,Loan,29987.0,Approved,779,2024,2,17,senior,medium,Credit,3
12228,Male,22,North,Current,2024-11-22,Deposit,13011.0,Approved,512,2024,11,22,young,medium,Credit,2
11341,Male,45,North,Current,2023-09-01,EMI,2083.0,Default,436,2023,9,1,middle_age,low,Debit,2
13951,Male,31,North,Current,2023-09-06,EMI,12774.0,Approved,820,2023,9,6,adult,medium,Debit,2
11554,Female,63,North,Current,2024-03-30,Withdrawal,79996.0,Rejected,881,2024,3,30,senior,high,Debit,2
10927,Male,27,South,Current,2023-06-04,EMI,49960.0,Default,892,2023,6,4,adult,medium,Debit,3
14106,Male,38,North,Current,2024-04-01,EMI,46517.0,Default,677,2024,4,1,adult,medium,Debit,2
11701,Male,26,West,Savings,2024-11-25,Deposit,61706.0,Approved,530,2024,11,25,adult,high,Credit,4
13878,Male,31,East,Current,2024-10-01,EMI,28039.0,Approved,714,2024,10,1,adult,medium,Debit,1
10352,Male,33,East,Current,2024-02-06,Deposit,59414.0,Approved,303,2024,2,6,adult,high,Credit,1
12457,Male,38,East,Current,2023-08-30,EMI,11485.0,Approved,544,2023,8,30,adult,medium,Debit,1
14605,Female,34,East,Savings,2023-02-07,EMI,2690.0,Approved,601,2023,2,7,adult,low,Debit,1
14506,Male,66,West,Current,2024-01-03,EMI,50179.0,Rejected,829,2024,1,3,senior,high,Debit,4
13410,Male,53,North,Savings,2024-08-20,Withdrawal,23584.0,Approved,332,2024,8,20,middle_age,medium,Debit,2
14487,Female,38,East,Savings,2023-04-22,Deposit,83844.0,Rejected,319,2023,4,22,adult,high,Credit,1
10394,Female,49,South,Savings,2023-03-12,EMI,40927.0,Default,622,2023,3,12,middle_age,medium,Debit,3
10832,Male,29,East,Savings,2024-02-16,Loan,33001.0,Default,770,2024,2,16,adult,medium,Credit,1
14009,Female,39,West,Current,2024-10-12,Loan,70558.0,Approved,746,2024,10,12,adult,high,Credit,4
13459,Male,55,East,Current,2023-08-21,Deposit,74965.0,Approved,634,2023,8,21,middle_age,high,Credit,1
13293,Male,26,West,Current,2023-03-11,Loan,43861.0,0,497,2023,3,11,adult,medium,Credit,4
13127,Female,39,South,Current,2023-06-04,EMI,49586.0,Rejected,508,2023,6,4,adult,medium,Debit,3
14351,Female,26,East,Current,2023-08-13,Loan,69867.0,0,637,2023,8,13,adult,high,Credit,1
11159,Female,65,West,Savings,2023-09-08,Deposit,0.0,Rejected,714,2023,9,8,senior,low,Credit,4
14519,Female,40,South,Savings,2023-10-11,EMI,49554.0,Rejected,569,2023,10,11,adult,medium,Debit,3
11033,Male,20,South,Savings,2024-06-11,EMI,71270.0,Rejected,541,2024,6,11,young,high,Debit,3
10725,Male,64,East,Current,2023-12-08,Withdrawal,83054.0,Approved,794,2023,12,8,senior,high,Debit,1
10469,Male,28,North,Savings,2023-01-11,Deposit,88822.0,Approved,599,2023,1,11,adult,high,Credit,2
10804,Male,29,North,Current,2024-04-28,Deposit,20941.0,Default,494,2024,4,28,adult,medium,Credit,2
13753,Male,30,West,Savings,2023-03-04,Withdrawal,22694.0,Approved,459,2023,3,4,adult,medium,Debit,4
13131,Female,29,North,Current,2023-03-15,Deposit,96666.0,Rejected,570,2023,3,15,adult,high,Credit,2
12188,Female,45,South,Savings,2023-05-11,Loan,79191.0,0,701,2023,5,11,middle_age,high,Credit,3
10441,Male,51,East,Current,2023-04-10,EMI,47969.0,0,720,2023,4,10,middle_age,medium,Debit,1
12446,Male,59,West,Savings,2023-07-30,Deposit,22663.0,Rejected,657,2023,7,30,middle_age,medium,Credit,4
12458,Male,48,West,Current,2024-01-10,Loan,74450.0,Approved,776,2024,1,10,middle_age,high,Credit,4
12925,Female,54,South,Savings,2024-08-07,Deposit,78195.0,Approved,579,2024,8,7,middle_age,high,Credit,3
13533,Female,34,0,Current,2024-03-07,Loan,57342.0,Approved,629,2024,3,7,adult,high,Credit,0
14221,Male,43,West,Current,2023-07-03,Loan,88200.0,Rejected,609,2023,7,3,middle_age,high,Credit,4
13236,Female,35,South,Current,2023-06-29,EMI,65105.0,Default,368,2023,6,29,adult,high,Debit,3
13693,Male,18,East,Current,2024-07-07,Loan,3673.0,Default,326,2024,7,7,young,low,Credit,1
14920,Male,56,South,Current,2024-07-11,EMI,50781.0,Approved,446,2024,7,11,middle_age,high,Debit,3
13457,Male,44,North,Current,2024-04-05,Deposit,93097.0,Rejected,488,2024,4,5,middle_age,high,Credit,2
12877,Female,44,North,Current,2023-06-16,Loan,38525.0,Approved,696,2023,6,16,middle_age,medium,Credit,2
13896,Female,43,South,Current,2023-07-17,Loan,76909.0,Approved,395,2023,7,17,middle_age,high,Credit,3
14275,Male,46,North,Savings,2024-07-13,EMI,46760.0,Approved,612,2024,7,13,middle_age,medium,Debit,2
10085,Male,52,South,Savings,2024-11-18,Loan,0.0,Default,469,2024,11,18,middle_age,low,Credit,3
11584,Female,57,North,Savings,2023-11-19,EMI,19405.0,Approved,409,2023,11,19,middle_age,medium,Debit,2
10801,Male,65,South,Savings,2023-08-27,Deposit,8826.0,Approved,691,2023,8,27,senior,low,Credit,3
14464,Male,19,East,Current,2024-03-10,Deposit,88770.0,Rejected,386,2024,3,10,young,high,Credit,1
14567,Female,37,North,Current,2023-02-27,EMI,99099.0,Approved,554,2023,2,27,adult,high,Debit,2
11426,Female,32,North,Current,2024-08-20,Withdrawal,49603.0,Default,649,2024,8,20,adult,medium,Debit,2
12883,Male,33,North,Savings,2024-12-01,Deposit,0.0,Approved,698,2024,12,1,adult,low,Credit,2
10107,Female,30,South,Savings,2023-12-08,Withdrawal,35851.0,Default,309,2023,12,8,adult,medium,Debit,3
14161,Male,57,West,Savings,2024-04-10,Loan,35758.0,Approved,713,2024,4,10,middle_age,medium,Credit,4
11455,Male,20,South,Current,2024-02-04,Withdrawal,11306.0,Rejected,644,2024,2,4,young,medium,Debit,3
11282,Male,29,East,Savings,2023-01-02,EMI,32601.0,Default,435,2023,1,2,adult,medium,Debit,1
14814,Female,20,East,Current,2024-08-05,Loan,38315.0,Default,703,2024,8,5,young,medium,Credit,1
10765,Male,18,West,Savings,2024-09-17,Loan,30350.0,Rejected,793,2024,9,17,young,medium,Credit,4
13318,Female,25,East,Savings,2023-01-02,EMI,69876.0,Default,592,2023,1,2,young,high,Debit,1
11539,Female,39,South,Current,2024-02-14,EMI,4274.0,Default,358,2024,2,14,adult,low,Debit,3
12330,Female,52,West,Savings,2024-08-08,EMI,8076.0,Rejected,389,2024,8,8,middle_age,low,Debit,4
10009,Male,26,South,Current,2024-12-28,Loan,45297.0,Approved,886,2024,12,28,adult,medium,Credit,3
10788,Female,36,North,Savings,2023-07-02,Withdrawal,84762.0,Approved,768,2023,7,2,adult,high,Debit,2
11380,Female,43,East,Savings,2024-06-09,Loan,0.0,Approved,636,2024,6,9,middle_age,low,Credit,1
14733,Male,46,North,Current,2023-02-02,EMI,28841.0,Approved,637,2023,2,2,middle_age,medium,Debit,2
13290,Female,32,0,Current,2024-08-11,EMI,3192.0,Rejected,762,2024,8,11,adult,low,Debit,0
10590,Male,27,North,Current,2024-12-23,Loan,17006.0,Default,560,2024,12,23,adult,medium,Credit,2
12744,Male,36,West,Current,2023-03-28,Deposit,68194.0,Approved,818,2023,3,28,adult,high,Credit,4
13012,Female,25,West,Current,2024-09-25,Loan,42280.0,Default,352,2024,9,25,young,medium,Credit,4
11892,Female,46,East,Current,2024-11-29,EMI,23066.0,Approved,522,2024,11,29,middle_age,medium,Debit,1
10220,Male,30,North,Current,2023-07-08,EMI,43011.0,Default,698,2023,7,8,adult,medium,Debit,2
10158,Female,31,North,Current,2023-10-17,EMI,78228.0,Approved,659,2023,10,17,adult,high,Debit,2
13352,Female,67,North,Current,2023-11-09,EMI,39416.0,Rejected,394,2023,11,9,senior,medium,Debit,2
10719,Female,27,East,Savings,2024-03-24,Deposit,89197.0,Approved,515,2024,3,24,adult,high,Credit,1
10965,Male,27,East,Current,2024-07-18,Deposit,28559.0,0,537,2024,7,18,adult,medium,Credit,1
14012,Male,69,0,Current,2024-10-21,Deposit,66210.0,Default,842,2024,10,21,senior,high,Credit,0
10180,Male,58,East,Current,2023-12-05,EMI,14882.0,Default,873,2023,12,5,middle_age,medium,Debit,1
13269,Female,51,0,Savings,2023-04-29,EMI,44898.0,Rejected,603,2023,4,29,middle_age,medium,Debit,0
13425,Male,51,West,Current,2023-05-26,EMI,24814.0,Rejected,823,2023,5,26,middle_age,medium,Debit,4
14095,Female,38,East,Savings,2024-06-21,Deposit,53287.0,Default,621,2024,6,21,adult,high,Credit,1
12187,Male,33,South,Current,2024-01-05,Withdrawal,20144.0,Approved,386,2024,1,5,adult,medium,Debit,3
12419,Male,53,South,Current,2023-08-12,EMI,56082.0,Approved,515,2023,8,12,middle_age,high,Debit,3
14685,Female,18,East,Savings,2024-11-01,Loan,6403.0,Default,687,2024,11,1,young,low,Credit,1
10498,Female,51,South,Savings,2024-04-24,Deposit,92650.0,Default,449,2024,4,24,middle_age,high,Credit,3
11727,Female,33,North,Savings,2024-11-09,EMI,84872.0,Approved,755,2024,11,9,adult,high,Debit,2
11661,Male,56,South,Current,2023-10-03,Deposit,73170.0,Default,707,2023,10,3,middle_age,high,Credit,3
12898,Male,47,South,Savings,2023-04-20,Withdrawal,77812.0,Default,847,2023,4,20,middle_age,high,Debit,3
11748,Male,23,0,Current,2024-09-24,EMI,71270.0,Default,853,2024,9,24,young,high,Debit,0
12843,Male,35,West,Current,2023-10-26,Deposit,89992.0,Approved,572,2023,10,26,adult,high,Credit,4
14421,Female,53,South,Savings,2024-12-04,Deposit,47642.0,Rejected,370,2024,12,4,middle_age,medium,Credit,3
14029,Female,32,South,Savings,2023-07-24,Deposit,15481.0,Default,541,2023,7,24,adult,medium,Credit,3
11003,Male,56,East,Savings,2023-03-22,Withdrawal,71656.0,Approved,759,2023,3,22,middle_age,high,Debit,1
10030,Female,39,South,Current,2024-06-07,Deposit,30846.0,Approved,365,2024,6,7,adult,medium,Credit,3
11096,Female,24,East,Current,2023-01-01,Withdrawal,34527.0,Default,362,2023,1,1,young,medium,Debit,1
14483,Female,56,East,Current,2024-04-12,Deposit,9526.0,Approved,532,2024,4,12,middle_age,low,Credit,1
14264,Male,65,South,Current,2023-07-31,Loan,35139.0,Approved,534,2023,7,31,senior,medium,Credit,3
13911,Female,36,East,Current,2024-03-01,EMI,57577.0,Default,459,2024,3,1,adult,high,Debit,1
11946,Female,45,West,Savings,2023-03-26,Withdrawal,27866.0,Approved,591,2023,3,26,middle_age,medium,Debit,4
14145,Female,29,0,Savings,2023-03-20,EMI,7221.0,Default,786,2023,3,20,adult,low,Debit,0
12702,Male,20,North,Savings,2023-02-24,Withdrawal,81000.0,Rejected,766,2023,2,24,young,high,Debit,2
14175,Female,37,West,Savings,2023-09-08,Withdrawal,71278.0,Approved,876,2023,9,8,adult,high,Debit,4
11698,Male,59,South,Savings,2024-11-14,Loan,6156.0,Default,464,2024,11,14,middle_age,low,Credit,3
14650,Female,51,East,Current,2024-08-24,Loan,11868.0,Approved,593,2024,8,24,middle_age,medium,Credit,1
10539,Male,25,South,Savings,2023-12-03,Deposit,65079.0,Rejected,691,2023,12,3,young,high,Credit,3
14764,Female,65,West,Current,2023-08-04,Loan,65994.0,Approved,790,2023,8,4,senior,high,Credit,4
13822,Female,19,North,Current,2023-08-16,EMI,83095.0,Rejected,413,2023,8,16,young,high,Debit,2
14532,Female,50,South,Current,2024-07-29,Loan,98677.0,Approved,585,2024,7,29,middle_age,high,Credit,3
14819,Male,27,South,Current,2024-03-05,Loan,86950.0,Approved,392,2024,3,5,adult,high,Credit,3
13014,Male,64,0,Current,2024-01-27,EMI,62439.0,Default,473,2024,1,27,senior,high,Debit,0
13003,Female,23,East,Savings,2023-12-19,EMI,91257.0,Default,600,2023,12,19,young,high,Debit,1
10587,Female,37,West,Current,2024-07-28,Deposit,66481.0,Default,601,2024,7,28,adult,high,Credit,4
10152,Male,30,West,Savings,2023-07-08,Withdrawal,58061.0,Default,617,2023,7,8,adult,high,Debit,4
10722,Male,21,West,Current,2024-08-12,Withdrawal,62797.0,Default,595,2024,8,12,young,high,Debit,4
14258,Female,24,South,Savings,2023-05-13,Withdrawal,59238.0,Default,780,2023,5,13,young,high,Debit,3
14830,Male,19,South,Current,2024-06-25,Withdrawal,31982.0,Approved,304,2024,6,25,young,medium,Debit,3
11933,Male,60,West,Current,2024-07-14,Withdrawal,53273.0,Default,347,2024,7,14,middle_age,high,Debit,4
13358,Male,42,0,Savings,2023-09-03,EMI,25225.0,Rejected,547,2023,9,3,middle_age,medium,Debit,0
14485,Male,38,West,Current,2023-11-18,Deposit,35626.0,Default,541,2023,11,18,adult,medium,Credit,4
12281,Female,58,South,Current,2024-01-03,Withdrawal,0.0,Rejected,855,2024,1,3,middle_age,low,Debit,3
10081,Male,47,North,Current,2024-09-15,Deposit,5533.0,Approved,867,2024,9,15,middle_age,low,Credit,2
14832,Male,58,North,Savings,2024-03-28,Loan,24990.0,Approved,439,2024,3,28,middle_age,medium,Credit,2
13493,Female,67,North,Current,2023-05-05,Withdrawal,80396.0,Approved,491,2023,5,5,senior,high,Debit,2
11175,Male,60,West,Current,2023-02-06,Withdrawal,6217.0,Approved,390,2023,2,6,middle_age,low,Debit,4
10878,Female,23,North,Current,2024-03-24,Deposit,87378.0,Default,502,2024,3,24,young,high,Credit,2
10492,Male,43,West,Savings,2023-10-03,EMI,97683.0,Approved,750,2023,10,3,middle_age,high,Debit,4
10240,Female,54,North,Savings,2023-01-21,EMI,44452.0,Rejected,335,2023,1,21,middle_age,medium,Debit,2
14728,Male,39,East,Savings,2024-08-23,Loan,75070.0,Default,342,2024,8,23,adult,high,Credit,1
12211,Male,68,South,Current,2024-07-20,Loan,42682.0,Approved,671,2024,7,20,senior,medium,Credit,3
12657,Male,37,South,Current,2024-07-21,Deposit,87962.0,Rejected,493,2024,7,21,adult,high,Credit,3
12499,Male,41,East,Current,2023-05-01,Loan,61361.0,Default,808,2023,5,1,middle_age,high,Credit,1
14241,Female,40,South,Savings,2024-08-22,EMI,70915.0,Approved,670,2024,8,22,adult,high,Debit,3
14266,Male,38,West,Current,2023-09-09,Withdrawal,38702.0,Default,589,2023,9,9,adult,medium,Debit,4
12440,Male,39,West,Savings,2023-08-14,Loan,41542.0,Approved,816,2023,8,14,adult,medium,Credit,4
10813,Male,40,West,Savings,2024-07-23,EMI,21642.0,Approved,651,2024,7,23,adult,medium,Debit,4
12101,Male,39,West,Current,2023-08-11,EMI,31741.0,Default,772,2023,8,11,adult,medium,Debit,4
10169,Male,46,South,Current,2024-01-05,Loan,6351.0,Approved,718,2024,1,5,middle_age,low,Credit,3
12975,Male,56,East,Current,2023-11-18,Withdrawal,34208.0,Approved,774,2023,11,18,middle_age,medium,Debit,1
11184,Female,51,South,Current,2023-06-01,Withdrawal,68035.0,Rejected,611,2023,6,1,middle_age,high,Debit,3
13135,Female,36,South,Savings,2024-12-08,EMI,75232.0,Default,818,2024,12,8,adult,high,Debit,3
14160,Male,69,South,Current,2024-12-11,Withdrawal,24855.0,0,746,2024,12,11,senior,medium,Debit,3
14916,Female,36,North,Current,2023-02-19,Withdrawal,73807.0,Rejected,772,2023,2,19,adult,high,Debit,2
